ACRE,Ares Commercial Real Estate Corporation Common Stock,,,
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,,,
ADC,Agree Realty Corporation Common Stock,,,
ADCT,ADC Therapeutics SA Common Shares,,,
ADEX,Adit EdTech Acquisition Corp. Common Stock,,,
ADM,Archer-Daniels-Midland Company Common Stock,,,
ADNT,Adient plc Ordinary Shares ,,,
ADS,Alliance Data Systems Corporation Common Stock,,,
ADT,ADT Inc. Common Stock,,,
ADX,Adams Diversified Equity Fund Inc.,,,
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),,,
AEE,Ameren Corporation Common Stock,,,
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,,
AEG,AEGON N.V. Common Stock,,,
AEL,American Equity Investment Life Holding Company Common Stock,,,
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,,,
AEM,Agnico Eagle Mines Limited Common Stock,,,
AENZ,Aenza S.A.A. American Depositary Shares,,,
AEO,American Eagle Outfitters Inc. Common Stock,,,
AER,AerCap Holdings N.V. Ordinary Shares,,,
AES,The AES Corporation Common Stock,,,
AESC,The AES Corporation Corporate Units,,,
AEVA,Aeva Technologies Inc. Common Stock,,,
AFB,AllianceBernstein National Municipal Income Fund Inc,,,
AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,,,
AFG,American Financial Group Inc. Common Stock,,,
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,,,
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,,,
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,,,
AFI,Armstrong Flooring Inc. Common Stock,,,
AFL,AFLAC Incorporated Common Stock,,,
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,,
AG,First Majestic Silver Corp. Ordinary Shares (Canada),,,
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,,
AGCO,AGCO Corporation Common Stock,,,
AGD,Aberdeen Global Dynamic Dividend Fund,,,
AGI,Alamos Gold Inc. Class A Common Shares,,,
AGM,Federal Agricultural Mortgage Corporation Common Stock,,,
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,,
AGO,Assured Guaranty Ltd. Common Stock,,,
AGO^B,Assured Guaranty Ltd.,,,
AGO^E,Assured Guaranty Ltd.,,,
AGO^F,Assured Guaranty Ltd.,,,
AGR,Avangrid Inc. Common Stock,,,
AGRO,Adecoagro S.A. Common Shares,,,
AGS,PlayAGS Inc. Common Stock,,,
AGX,Argan Inc. Common Stock,,,
AHC,A.H. Belo Corporation (TX) Common Stock,,,
AHH,Armada Hoffler Properties Inc. Common Stock,,,
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,,
AHT,Ashford Hospitality Trust Inc Common Stock,,,
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,,
AI,C3.ai Inc. Class A Common Stock,,,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,,,
AIF,Apollo Tactical Income Fund Inc. Common Stock,,,
AIG,American International Group Inc. New Common Stock,,,
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,,
AIN,Albany International Corporation Common Stock,,,
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,,
AIR,AAR Corp. Common Stock,,,
AIRC,Apartment Income REIT Corp. Common Stock,,,
AIT,Applied Industrial Technologies Inc. Common Stock,,,
AIV,Apartment Investment and Management Company Common Stock,,,
AIZ,Assurant Inc. Common Stock,,,
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,,,
AJAX,Ajax I Class A Ordinary Shares,,,
AJG,Arthur J. Gallagher & Co. Common Stock,,,
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,,,
AJX,Great Ajax Corp. Common Stock,,,
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,,,
AKO/A,Embotelladora Andina S.A.,,,
AKO/B,Embotelladora Andina S.A.,,,
AKR,Acadia Realty Trust Common Stock,,,
AL,Air Lease Corporation Class A Common Stock,,,
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,,,
ALB,Albemarle Corporation Common Stock,,,
ALC,Alcon Inc. Ordinary Shares,,,
ALE,Allete Inc.,,,
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,,,
ALG,Alamo Group Inc. Common Stock,,,
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,,,
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,,,
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,,,
ALK,Alaska Air Group Inc. Common Stock,,,
ALL,Allstate Corporation (The) Common Stock,,,
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,,
ALLE,Allegion plc Ordinary Shares,,,
ALLY,Ally Financial Inc. Common Stock,,,
ALLY^A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,,,
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),,,
ALSN,Allison Transmission Holdings Inc. Common Stock,,,
ALTG,Alta Equipment Group Inc. Class A Common Stock,,,
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,,
ALUS,Alussa Energy Acquisition Corp. Class A Ordinary Shares,,,
ALV,Autoliv Inc. Common Stock,,,
ALX,Alexander's Inc. Common Stock,,,
AM,Antero Midstream Corporation Common Stock,,,
AMBC,Ambac Financial Group Inc. Common Stock,,,
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,,,
AMCR,Amcor plc Ordinary Shares,,,
AME,AMETEK Inc.,,,
AMG,Affiliated Managers Group Inc. Common Stock,,,
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,,,
AMH^D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,,,
AMH^E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,,,
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,,,
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,,
AMK,AssetMark Financial Holdings Inc. Common Stock,,,
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,,,
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,,,
AMP,Ameriprise Financial Inc. Common Stock,,,
AMPY,Amplify Energy Corp. Common Stock,,,
AMR,Alpha Metallurgical Resources Inc. Common Stock,,,
AMRC,Ameresco Inc. Class A Common Stock,,,
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,,,
AMT,American Tower Corporation (REIT) Common Stock,,,
AMWL,American Well Corporation Class A Common Stock,,,
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,,,
AN,AutoNation Inc. Common Stock,,,
ANET,Arista Networks Inc. Common Stock,,,
ANF,Abercrombie & Fitch Company Common Stock,,,
ANH,Anworth Mortgage Asset Corporation Common Stock,,,
ANH^A,Anworth Mortgage Asset Corporation Series A Preferred Stock,,,
ANH^B,Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%,,,
ANH^C,Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock,,,
ANTM,Anthem Inc. Common Stock,,,
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,,,
AON,Aon plc Class A Ordinary Shares (Ireland),,,
AONE,one Class A Ordinary Shares,,,
AOS,A.O. Smith Corporation Common Stock,,,
AP,Ampco-Pittsburgh Corporation Common Stock,,,
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,,,
APD,Air Products and Chemicals Inc. Common Stock,,,
APG,APi Group Corporation Common Stock,,,
APH,Amphenol Corporation Common Stock,,,
APLE,Apple Hospitality REIT Inc. Common Shares,,,
APO,Apollo Global Management Inc. Class A Common Stock,,,
APO^A,Apollo Global Management Inc. 6.375% Series A Preferred Shares,,,
APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,,,
APRN,Blue Apron Holdings Inc. Class A Common Stock,,,
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,,,
APTS,Preferred Apartment Communities Inc. Common Stock,,,
APTV,Aptiv PLC Ordinary Shares,,,
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,,,
AQN,Algonquin Power & Utilities Corp. Common Shares,,,
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,,,
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,,,
AQUA,Evoqua Water Technologies Corp. Common Stock,,,
AR,Antero Resources Corporation Common Stock,,,
ARC,ARC Document Solutions Inc. Common Stock,,,
ARCH,Arch Resources Inc. Class A Common Stock,,,
ARCO,Arcos Dorados Holdings Inc. Class A Shares,,,
ARD,Ardagh Group S.A. Common Shares,,,
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,,,
ARES,Ares Management Corporation Class A Common Stock,,,
ARES^A,Ares Management Corporation 7.00% Series A Preferred Stock,,,
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,,,
ARGO,Argo Group International Holdings Ltd.,,,
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,,,
ARI,Apollo Commercial Real Estate Finance Inc,,,
ARL,American Realty Investors Inc. Common Stock,,,
ARLO,Arlo Technologies Inc. Common Stock,,,
ARMK,Aramark Common Stock,,,
ARNC,Arconic Corporation Common Stock ,,,
AROC,Archrock Inc. Common Stock,,,
ARR,ARMOUR Residential REIT Inc.,,,
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),,,
ARW,Arrow Electronics Inc. Common Stock,,,
ASA,ASA  Gold and Precious Metals Limited,,,
ASAI,Sendas Distribuidora S.A. ADS,,,
ASAN,Asana Inc. Class A Common Stock,,,
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,,,
ASB,Associated Banc-Corp Common Stock,,,
ASB^C,Associated Banc-Corp Depositary shares each representing a 1/40th ownership interest in a share of 6.125% Non-Cumulative Perpetual Preferred Stock Series C,,,
ASB^D,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.375% Non-Cumulative Perpetual Preferred Stock Series D,,,
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,,,
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,,,
ASC,Ardmore Shipping Corporation Common Stock,,,
ASG,Liberty All-Star Growth Fund Inc.,,,
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,,,
ASGN,ASGN Incorporated Common Stock,,,
ASH,Ashland Global Holdings Inc. Common Stock,,,
ASIX,AdvanSix Inc. Common Stock ,,,
ASPL,Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares,,,
ASPN,Aspen Aerogels Inc. Common Stock,,,
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,,,
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,,
AT,Atlantic Power Corporation Ordinary Shares (Canada),,,
ATA,Americas Technology Acquisition Corp. Ordinary Shares,,,
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares,,,
ATC,Atotech Limited Common Shares,,,
ATCO,Atlas Corp. Common Shares,,,
ATCO^D,Atlas Corp. 7.95% Series D,,,
ATCO^E,Atlas Corp. 8.25% Series E,,,
ATCO^G,Atlas Corp. 8.20% Series G,,,
ATCO^H,Atlas Corp. 7.875% Series H,,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,,,
ATEN,A10 Networks Inc. Common Stock,,,
ATGE,Adtalem Global Education Inc. Common Stock,,,
ATH,Athene Holding Ltd. Class A Common Shares,,,
ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,,,
ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,,,
ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,,,
ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,,,
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,,,
ATI,Allegheny Technologies Incorporated Common Stock,,,
ATKR,Atkore Inc. Common Stock,,,
ATO,Atmos Energy Corporation Common Stock,,,
ATR,AptarGroup Inc. Common Stock,,,
ATTO,Atento S.A. Ordinary Shares,,,
ATUS,Altice USA Inc. Class A Common Stock,,,
AU,AngloGold Ashanti Limited Common Stock,,,
AUY,Yamana Gold Inc. Ordinary Shares (Canada),,,
AVA,Avista Corporation Common Stock,,,
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,,
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares,,,
AVB,AvalonBay Communities Inc. Common Stock,,,
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),,,
AVK,Advent Convertible and Income Fund,,,
AVLR,Avalara Inc. Common Stock,,,
AVNS,Avanos Medical Inc. Common Stock,,,
AVNT,Avient Corporation Common Stock,,,
AVTR,Avantor Inc. Common Stock,,,
AVTR^A,Avantor Inc. Series A Mandatory Convertible Preferred Stock,,,
AVY,Avery Dennison Corporation Common Stock,,,
AVYA,Avaya Holdings Corp. Common Stock,,,
AWF,Alliancebernstein Global High Income Fund,,,
AWI,Armstrong World Industries Inc Common Stock,,,
AWK,American Water Works Company Inc. Common Stock,,,
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,,,
AWR,American States Water Company Common Stock,,,
AX,Axos Financial Inc. Common Stock,,,
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,,,
AXO,Axos Financial Inc. 6.25% Subordinated Notes Due 2026,,,
AXP,American Express Company Common Stock,,,
AXR,AMREP Corporation Common Stock,,,
AXS,Axis Capital Holdings Limited Common Stock,,,
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,,,
AXTA,Axalta Coating Systems Ltd. Common Shares,,,
AYI,Acuity Brands Inc. ,,,
AYX,Alteryx Inc. Class A Common Stock,,,
AZEK,The AZEK Company Inc. Class A Common Stock,,,
AZO,AutoZone Inc. Common Stock,,,
AZRE,Azure Power Global Limited Equity Shares,,,
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),,,
AZZ,AZZ Inc.,,,
B,Barnes Group Inc. Common Stock,,,
BA,Boeing Company (The) Common Stock,,,
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,,,
BAC,Bank of America Corporation Common Stock,,,
BAC^A,Bank of America Corporation Depositary Shares each representing a 1/1000 th interest in a share of Bank of America Corporation 6.000% Non-Cumulative,,,
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,,,
BAH,Booz Allen Hamilton Holding Corporation Common Stock,,,
BAK,Braskem SA ADR,,,
BALY,Bally's Corporation Common Stock,,,
BAM,Brookfield Asset Management Inc. Common Stock,,,
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,,,
BAMI,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,,,
BANC,Banc of California Inc. Common Stock,,,
BANC^E,Banc of California Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.000% Non-Cumulative Perpetual Preferred Stock Series E,,,
BAP,Credicorp Ltd. Common Stock,,,
BAX,Baxter International Inc. Common Stock,,,
BB,BlackBerry Limited Common Stock,,,
BBAR,Banco BBVA Argentina S.A. ADS,,,
BBD,Banco Bradesco Sa American Depositary Shares,,,
BBDC,Barings BDC Inc. Common Stock,,,
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),,,
BBF,BlackRock Municipal Income Investment Trust,,,
BBL,BHP Group PlcSponsored ADR,,,
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,,,
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,,,
BBW,Build-A-Bear Workshop Inc. Common Stock,,,
BBY,Best Buy Co. Inc. Common Stock,,,
BC,Brunswick Corporation Common Stock,,,
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,,,
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,,,
BCC,Boise Cascade L.L.C. Common Stock,,,
BCE,BCE Inc. Common Stock,,,
BCEI,Bonanza Creek Energy Inc. Common Stock,,,
BCH,Banco De Chile Banco De Chile ADS,,,
BCO,Brinks Company (The) Common Stock,,,
BCS,Barclays PLC Common Stock,,,
BCSF,Bain Capital Specialty Finance Inc. Common Stock,,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,,,
BDC,Belden Inc Common Stock,,,
BDJ,Blackrock Enhanced Equity Dividend Trust,,,
BDN,Brandywine Realty Trust Common Stock,,,
BDX,Becton Dickinson and Company Common Stock,,,
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,,,
BE,Bloom Energy Corporation Class A Common Stock,,,
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share,,,
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),,,
BEN,Franklin Resources Inc. Common Stock,,,
BEP,Brookfield Renewable Partners L.P. ,,,
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,,,
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,,,
BERY,Berry Global Group Inc. Common Stock,,,
BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share,,,
BF/A,Brown Forman Corporation,,,
BF/B,Brown Forman Corporation,,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,,,
BFK,BlackRock Municipal Income Trust,,,
BFLY,Butterfly Network Inc. Class A Common Stock,,,
BFS,Saul Centers Inc. Common Stock,,,
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,,,
BFT,Foley Trasimene Acquisition Corp. II Class A Common Stock,,,
BFY,BlackRock New York Municipal Income Trust II,,,
BFZ,BlackRock California Municipal Income Trust,,,
BG,Bunge Limited Bunge Limited,,,
BGB,Blackstone Strategic Credit Fund Common Shares,,,
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,,,
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest,,,
BGR,BlackRock Energy and Resources Trust,,,
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,,,
BGSF,BGSF Inc. Common Stock,,,
BGT,BlackRock Floating Rate Income Trust,,,
BGX,Blackstone Long Short Credit Income Fund Common Shares,,,
BGY,Blackrock Enhanced International Dividend Trust,,,
BH,Biglari Holdings Inc. Class B Common Stock,,,
BHC,Bausch Health Companies Inc. Common Stock,,,
BHE,Benchmark Electronics Inc. Common Stock,,,
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,,,
BHLB,Berkshire Hills Bancorp Inc. Common Stock,,,
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),,,
BHR,Braemar Hotels & Resorts Inc. Common Stock,,,
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,,,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,,,
BHV,BlackRock Virginia Municipal Bond Trust,,,
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,,,
BIF,Boulder Growth & Income Fund Inc.,,,
BIG,Big Lots Inc. Common Stock,,,
BILL,Bill.com Holdings Inc. Common Stock,,,
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,,,
BIO/B,Bio-Rad Laboratories Inc.,,,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,,,
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,,,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,,,
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares ,,,
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,,,
BK,The Bank of New York Mellon Corporation Common Stock,,,
BKD,Brookdale Senior Living Inc. Common Stock,,,
BKE,Buckle Inc. (The) Common Stock,,,
BKH,Black Hills Corporation Common Stock,,,
BKI,Black Knight Inc. Common Stock ,,,
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),,,
BKR,Baker Hughes Company Class A Common Stock,,,
BKT,BlackRock Income Trust Inc. (The),,,
BKU,BankUnited Inc. Common Stock,,,
BLD,TopBuild Corp. Common Stock,,,
BLE,BlackRock Municipal Income Trust II,,,
BLK,BlackRock Inc. Common Stock,,,
BLL,Ball Corporation Common Stock,,,
BLW,Blackrock Limited Duration Income Trust,,,
BLX,Banco Latinoamericano de Comercio Exterior S.A.,,,
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),,,
BME,Blackrock Health Sciences Trust,,,
BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial Interest,,,
BMI,Badger Meter Inc. Common Stock,,,
BML^G,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),,,
BML^H,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),,,
